Title,Rating,Budget,Genre,Lifetime_Revenue
Dear John,6.3,25000000.0,"Drama, Romance, War","$80,014,842"
Valentine's Day,5.7,52000000.0,"Comedy, Romance","$110,528,528"
Shutter Island,8.2,80000000.0,"Drama, Mystery, Thriller","$128,012,934"
Alice in Wonderland,6.4,200000000.0,"Adventure, Family, Fantasy","$334,191,110"
How to Train Your Dragon,8.1,165000000.0,"Animation, Action, Adventure","$217,581,231"
Clash of the Titans,5.8,125000000.0,"Action, Adventure, Fantasy","$163,214,888"
Kick-Ass,7.6,30000000.0,"Action, Comedy, Crime","$48,071,303"
A Nightmare on Elm Street,5.2,35000000.0,"Crime, Drama, Horror","$63,075,011"
Iron Man 2,6.9,200000000.0,"Action, Sci-Fi","$312,433,331"
Shrek Forever After,6.3,165000000.0,"Animation, Adventure, Comedy","$238,736,787"
The Karate Kid,6.2,40000000.0,"Action, Drama, Family","$176,591,618"
Toy Story 3,8.3,200000000.0,"Animation, Adventure, Comedy","$415,004,880"
The Twilight Saga: Eclipse,5.1,68000000.0,"Action, Adventure, Drama","$300,531,751"
Despicable Me,7.6,69000000.0,"Animation, Adventure, Comedy","$251,683,815"
Inception,8.8,160000000.0,"Action, Adventure, Sci-Fi","$292,587,330"
The Other Guys,6.6,100000000.0,"Action, Comedy, Crime","$119,219,978"
The Expendables,6.4,80000000.0,"Action, Adventure, Thriller","$103,068,524"
Takers,6.2,32000000.0,"Action, Crime, Drama","$57,744,720"
The American,6.3,20000000.0,"Action, Crime, Drama","$35,606,376"
Resident Evil: Afterlife,5.8,60000000.0,"Action, Horror, Sci-Fi","$60,128,566"
The Town,7.5,37000000.0,"Crime, Drama, Thriller","$92,186,262"
Wall Street: Money Never Sleeps,6.2,70000000.0,Drama,"$52,474,616"
The Social Network,7.8,40000000.0,"Biography, Drama","$96,962,694"
Jackass 3D,7.0,20000000.0,"Documentary, Action, Comedy","$117,229,692"
Paranormal Activity 2,5.7,3000000.0,"Horror, Mystery","$84,752,907"
Saw: The Final Chapter,,20000000.0,,
Megamind,7.3,130000000.0,"Animation, Action, Adventure","$148,415,853"
Harry Potter and the Deathly Hallows: Part 1,7.7,125000000.0,"Adventure, Family, Fantasy","$296,374,621"
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,155000000.0,"Adventure, Family, Fantasy","$104,386,950"
TRON: Legacy,6.8,170000000.0,"Action, Adventure, Sci-Fi","$172,062,763"
Little Fockers,5.5,100000000.0,"Comedy, Romance","$148,438,600"
The Green Hornet,5.8,120000000.0,"Action, Comedy, Crime","$98,780,042"
No Strings Attached,6.2,25000000.0,"Comedy, Romance","$70,662,220"
The Rite,6.0,37000000.0,"Drama, Horror, Mystery","$33,047,633"
The Roommate,4.8,16000000.0,"Drama, Horror, Thriller","$37,300,000"
Just Go with It,6.4,80000000.0,"Comedy, Romance","$103,028,109"
Unknown,6.8,30000000.0,"Action, Mystery, Thriller","$63,686,397"
Hall Pass,5.9,36000000.0,"Comedy, Romance","$45,060,734"
Rango,7.3,135000000.0,"Animation, Action, Adventure","$123,477,607"
Battle Los Angeles,5.7,70000000.0,"Action, Adventure, Sci-Fi","$83,552,429"
Limitless,7.4,27000000.0,"Sci-Fi, Thriller","$79,249,455"
Diary of a Wimpy Kid: Rodrick Rules,6.6,21000000.0,"Comedy, Family","$52,698,535"
Hop,5.4,63000000.0,"Animation, Adventure, Comedy","$108,498,305"
Rio,6.9,90000000.0,"Animation, Adventure, Comedy","$143,619,809"
Fast Five,7.3,125000000.0,"Action, Crime, Thriller","$209,837,675"
Thor,7.0,150000000.0,"Action, Fantasy","$181,030,624"
Pirates of the Caribbean: On Stranger Tides,6.6,250000000.0,"Action, Adventure, Fantasy","$241,071,802"
