Title,Year,Genre,Rating,Budget,Lifetime_Revenue
 Wonka,2023,"Comedy, Family, Fantasy",7.4,"$125,000,000.00","$632,302,312.00"
 Poor Things,2023,"Science Fiction, Romance, Comedy",8.5,"$35,000,000.00","$117,607,117.00"
 Killers of the Flower Moon,2023,"Crime, History, Drama",7.8,"$200,000,000.00","$156,922,344.00"
 May December,2023,Drama,7.0,"$20,000,000.00","$4,232,370.00"
 The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Drama, Science Fiction, Action",7.1,"$100,000,000.00","$337,371,917.00"
 Oppenheimer,2023,"Drama, History",8.4,"$100,000,000.00","$952,000,000.00"
 Love Actually,2003,"Comedy, Romance, Drama",7.6,"$40,000,000.00","$249,600,000.00"
 Saltburn,2023,"Drama, Comedy, Thriller",7.5,"$20,000,000.00","$21,013,738.00"
 National Lampoon's Christmas Vacation,1989,Comedy,7.5,"$27,000,000.00","$71,300,000.00"
 The Holdovers,2023,"Comedy, Drama",8.0,"$13,000,000.00","$42,513,270.00"
 Indiana Jones and the Dial of Destiny,2023,"Adventure, Action",6.6,"$294,700,000.00","$383,963,057.00"
 Elf,2003,"Comedy, Family, Fantasy",7.1,"$32,000,000.00","$228,500,000.00"
 How the Grinch Stole Christmas,2000,"Family, Comedy, Fantasy",6.3,"$123,000,000.00","$345,800,000.00"
 The Creator,2023,"Action, Adventure, Science Fiction",6.9,"$80,000,000.00","$104,272,136.00"
 The Grinch,2000,"Family, Comedy, Fantasy",6.4,"$123,000,000.00","$345,800,000.00"
 Die Hard,1988,"Action, Thriller",8.2,"$28,000,000.00","$140,767,956.00"
 The Killer,2024,"Action, Comedy, Crime",6.8,"$30,000,000.00","$5,928,351.00"
 The Super Mario Bros. Movie,2023,"Animation, Family, Adventure, Fantasy, Comedy",7.0,"$100,000,000.00","$1,362,000,000.00"
 Violent Night,2022,"Comedy, Action",6.7,"$20,000,000.00","$75,734,910.00"
Home Alone 2: Lost in New York,1992,"Comedy, Family, Adventure",6.9,"$18,000,000.00","$358,994,850.00"
 A Haunting in Venice,2023,"Mystery, Thriller, Crime",6.5,"$60,000,000.00","$121,400,000.00"
 The Marvels,2023,"Science Fiction, Adventure, Action",5.9,"$274,800,000.00","$207,089,999.00"
 Wish,2022,"Animation, Adventure, Fantasy, Comedy, Family",5.8,"$90,000,000.00","$484,700,000.00"
 The Polar Express,2004,"Animation, Adventure, Family, Fantasy",6.6,"$165,000,000.00","$310,634,054.00"
 It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,"$3,180,000.00","$9,644,124.00"
 Five Nights at Freddy's,2023,"Horror, Mystery",5.5,"$20,000,000.00","$294,803,785.00"
 The Shift,2023,Science Fiction,6.4,"$6,500,000.00","$12,238,643.00"
 The Santa Clause,1994,"Fantasy, Drama, Comedy, Family",6.6,"$22,000,000.00","$189,833,357.00"
 Thanksgiving,2023,"Horror, Mystery, Thriller",6.8,"$15,000,000.00","$46,553,280.00"
 The Holiday,2006,"Comedy, Romance",6.9,"$85,000,000.00","$194,168,700.00"
 The Hunger Games,2023,"Drama, Science Fiction, Action",7.2,"$100,000,000.00","$337,371,917.00"
 The Boys in the Boat,2023,"Drama, History",,"$40,000,000.00","$54,401,583.00"
 The Color Purple,1985,"Drama, History",,"$15,000,000.00","$146,300,000.00"
 Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Comedy",7.8,"$3,000,000.00","$4,000,000.00"
 Trolls Band Together,2023,"Animation, Family, Music, Fantasy, Comedy",6.0,"$95,000,000.00","$207,318,137.00"
 Scrooged,1988,"Fantasy, Comedy, Drama",6.9,"$32,000,000.00","$60,300,000.00"
 Ferrari,2019,"Drama, Action, History",6.7,"$97,600,000.00","$225,508,210.00"
 No Hard Feelings,2023,"Comedy, Romance",6.4,"$45,000,000.00","$83,000,000.00"
 Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy",6.7,"$150,000,000.00","$475,000,000.00"
 Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure",7.8,"$291,000,000.00","$567,535,383.00"
 Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure, Science Fiction",8.6,"$100,000,000.00","$690,897,910.00"
 Asteroid City,2023,"Comedy, Drama",6.6,"$25,000,000.00","$47,281,670.00"
 Blue Beetle,2023,"Action, Science Fiction, Adventure",6.0,"$104,000,000.00","$130,788,072.00"
 Eileen,2023,Thriller,6.7,"$16,000,000.00","$1,560,142.00"
 Love and Monsters,2020,"Comedy, Action, Adventure",6.9,"$30,000,000.00","$1,122,066.00"
 Dune,2024,"Science Fiction, Adventure",8.0,"$190,000,000.00","$714,444,358.00"
 Spirited,2001,"Animation, Family, Fantasy",6.6,"$19,000,000.00","$274,925,095.00"
 Dream Scenario,2023,"Comedy, Fantasy",7.4,"$10,000,000.00","$14,114,415.00"
 Jingle All the Way,1996,"Family, Comedy, Adventure",5.7,"$60,000,000.00","$129,800,000.00"
 Priscilla,2023,"Drama, Romance",6.9,"$20,000,000.00","$30,140,906.00"
 Talk to Me,2023,Horror,7.1,"$4,500,000.00","$92,000,000.00"
 The Batman,2022,"Crime, Mystery, Thriller",7.8,"$185,000,000.00","$771,000,000.00"
 Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction",7.8,"$25,000,000.00","$139,200,000.00"
 Harry Potter and the Sorcerer's Stone,2001,"Adventure, Fantasy",7.6,"$125,000,000.00","$976,475,550.00"
 American Fiction,2023,"Comedy, Drama",7.8,"$16,000,000.00","$22,483,370.00"
 Interstellar,2014,"Adventure, Drama, Science Fiction",8.7,"$165,000,000.00","$701,729,206.00"
 All of Us Strangers,2023,"Romance, Drama, Fantasy",,"$5,000,000.00","$14,864,960.00"
 Migration,2023,"Animation, Action, Adventure, Comedy, Family",7.1,"$72,000,000.00","$298,776,052.00"
 The Shawshank Redemption,1994,"Drama, Crime",9.3,"$25,000,000.00","$28,341,469.00"
 Cat Person,2023,"Thriller, Comedy",6.1,"$12,000,000.00","$282,000.00"
 A Christmas Carol,2009,"Animation, Family, Fantasy",6.8,"$200,000,000.00","$325,300,000.00"
