Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
GeorgeAlbuquerque,@Georgealbuquerq,2023-10-21T23:42:45.000Z,True,"Se ele não for apaixonado pelo amigo , não vejo motivo pra o filme existir  #Saltburn",0,0,0,1.2K,['#Saltburn'],[],"['\\U0001f92d', '\\U0001f5e3\\ufe0f']",https://pbs.twimg.com/profile_images/1079491112786636806/H3ijFp0a_x96.jpg,https://x.com/Georgealbuquerq/status/1715876305688772666,tweet_id:1715876305688772666
Marcel Plasse,@p1a55e,2023-10-21T23:32:23.000Z,False,"Saltburn | Trailer explora ostentação no novo suspense da diretora de ""Bela Vingança"" https://pipocamoderna.com.br/2023/10/saltburn-trailer-explora-ostentacao-no-novo-suspense-da-diretora-de-bela-vinganca/…",0,0,0,137,[],[],[],https://pbs.twimg.com/profile_images/1435388384441143296/Y0FGFrgv_x96.jpg,https://x.com/p1a55e/status/1715873697674801649,tweet_id:1715873697674801649
Pipoca Moderna,@Pipoca_Moderna,2023-10-21T23:32:12.000Z,False,"Saltburn | Trailer explora ostentação no novo suspense da diretora de ""Bela Vingança"" https://pipocamoderna.com.br/2023/10/saltburn-trailer-explora-ostentacao-no-novo-suspense-da-diretora-de-bela-vinganca/…",0,0,0,114,[],[],[],https://pbs.twimg.com/profile_images/1772513041180971008/4VrmsFxG_x96.jpg,https://x.com/Pipoca_Moderna/status/1715873650895687990,tweet_id:1715873650895687990
hana ⋆ in defense of Aemond Targaryen warcrimes,@aemondfawn,2023-10-21T23:21:08.000Z,True,SALTBURN STOP MILKING HIM AND SHOW US MORE OF EWAN ALREADY,0,0,0,761,[],[],[],https://pbs.twimg.com/profile_images/1801228771166425089/qATcssgl_x96.jpg,https://x.com/aemondfawn/status/1715870865332515125,tweet_id:1715870865332515125
Showbiz 411,@showbiz411,2023-10-21T23:18:21.000Z,True,Never even received a press release about Saltburn. What is it?,0,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/181269305/untitled_x96.JPG,https://x.com/showbiz411/status/1715870165294789118,tweet_id:1715870165294789118
Jillian,@JillianChili,2023-10-21T23:02:33.000Z,False,I’m addicted to Saltburn,0,0,0,929,[],[],[],https://pbs.twimg.com/profile_images/1824178114634846210/89DpDXZM_x96.jpg,https://x.com/JillianChili/status/1715866190281871617,tweet_id:1715866190281871617
Saltburn,@Saltburnfilm,2023-10-21T23:00:01.000Z,True,We know the feeling. #Saltburn is in select theaters November 17 and everywhere Thanksgiving.,0,0,0,8.6K,['#Saltburn'],[],[],https://pbs.twimg.com/profile_images/1688549352749645824/_xo-5VMB_x96.jpg,https://x.com/Saltburnfilm/status/1715865553729134612,tweet_id:1715865553729134612
tiwa,@patzweigs,2023-10-21T22:58:26.000Z,False,was NOT expecting that,0,0,0,28,[],[],[],https://pbs.twimg.com/profile_images/1866295837183152128/SHeYeqDQ_x96.jpg,https://x.com/patzweigs/status/1715865154133316023,tweet_id:1715865154133316023
tiwa,@patzweigs,2023-10-21T22:57:34.000Z,False,just finished fleabag s1 and that twist wow...,0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1866295837183152128/SHeYeqDQ_x96.jpg,https://x.com/patzweigs/status/1715864936381816987,tweet_id:1715864936381816987
Bluenose97,@GiblinTez,2023-10-21T22:45:17.000Z,False,Saturday night in Saltburn ,0,0,0,209,[],[],['\\U0001f601'],https://pbs.twimg.com/profile_images/1859387867052515330/GJE4xbwa_x96.jpg,https://x.com/GiblinTez/status/1715861843363680437,tweet_id:1715861843363680437
