Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
酔いどれ＿T,@yoidore_t_1976,2022-05-29T23:59:59.000Z,False,"TOP GUNマーヴェリック観て思ったこと
年取ったアイスマンが新庄ににている!!",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1686692339950260224/KJoWysj9_normal.jpg,https://x.com/yoidore_t_1976/status/1531062831285927936,tweet_id:1531062831285927936
Blooshier,@Blooshier,2022-05-29T23:59:49.000Z,False,Top gun,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/3086801664/8757f32c4da3e0bbded1c5e62d696ad6_normal.png,https://x.com/Blooshier/status/1531062788352790528,tweet_id:1531062788352790528
Tristin Minjarez,@Blyyt_,2022-05-29T23:59:48.000Z,False,Top gun Maverick top 5 best movies of all time,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1844849193296257030/g-erTWgw_normal.jpg,https://x.com/Blyyt_/status/1531062786104647680,tweet_id:1531062786104647680
Screen International,@Screendaily,2022-05-29T23:59:46.000Z,True,"‘Top Gun: Maverick’ heading for $151m four-day Memorial Day weekend, sets new record for Tom Cruise https://bit.ly/3NLzKpd",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/603893356456845313/1TR3Fvp9_normal.jpg,https://x.com/Screendaily/status/1531062777824935936,tweet_id:1531062777824935936
Martin abel,@Martinlococo_ok,2022-05-29T23:59:42.000Z,False,Quien me acompaña a ver Top Gun Maverik?,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1624761888964747268/raw1bxTj_normal.jpg,https://x.com/Martinlococo_ok/status/1531062759353290752,tweet_id:1531062759353290752
kg,@kgzampini,2022-05-29T23:59:37.000Z,False,tonight!!! here we gooooo #topgun,0,0,0,0,['#topgun'],[],[],https://pbs.twimg.com/profile_images/1518134033431027713/QvVpCGPK_normal.jpg,https://x.com/kgzampini/status/1531062738805477378,tweet_id:1531062738805477378
Katie Perry,@katieeperry,2022-05-29T23:59:32.000Z,True,Top Gun: Maverick. WORTH THE WAIT.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1852105807715831809/ozyTOoSz_normal.jpg,https://x.com/katieeperry/status/1531062717787820032,tweet_id:1531062717787820032
crystal rae :p,@tostitoscoopluv,2022-05-29T23:59:27.000Z,False,Can proudly say my miles teller phase didn’t stem from top gun and has been around for 4 years,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1627523934810931201/8MLSGuiT_normal.jpg,https://x.com/tostitoscoopluv/status/1531062698154151936,tweet_id:1531062698154151936
carol!,@carolinenyms,2022-05-29T23:59:26.000Z,False,Pops and I bawling in the theater watching Top Gun Maverick holy shit I’m literally speechless,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1827508064527794176/PirLAxq8_normal.jpg,https://x.com/carolinenyms/status/1531062692970172416,tweet_id:1531062692970172416
The Press United,@ThePressUnited,2022-05-29T23:59:25.000Z,False,‘Top Gun: Maverick’ Wins Tom Cruise 1st $100 Million Opening https://thepressunited.com/news/top-gun-maverick-wins-tom-cruise-1st-100-million-opening/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1700368692742373376/6HGNeK9D_normal.jpg,https://x.com/ThePressUnited/status/1531062687483961345,tweet_id:1531062687483961345
Ben Diesel,@BenDiesel24,2022-05-29T23:59:23.000Z,False,Listening to Top Gun soundtrack on the way to see Top Gun Maverick!!! I haven’t been able to watch until tonight! It’s time to kick the tires and light the fires!!! Danger Zone!!! ,0,0,0,0,[],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1503457214723497993/Kdh8xPN5_normal.jpg,https://x.com/BenDiesel24/status/1531062680508833794,tweet_id:1531062680508833794
piusx,@driftstreamer,2022-05-29T23:59:21.000Z,False,Bro i just watched top gun maverick and i wanna say that this is now my favorite movie #TopGunMaverick #TopGun,0,0,0,0,"['#TopGunMaverick', '#TopGun']",[],[],https://pbs.twimg.com/profile_images/1808132006133272576/FwDmKLk5_normal.jpg,https://x.com/driftstreamer/status/1531062671885336580,tweet_id:1531062671885336580
michael e. ruane,@michaelruane,2022-05-29T23:59:18.000Z,False,Memorial Day Parade returns to D.C. with ‘Top Gun’ Tuskegee Airman,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1792556359/myphoto_normal.jpg,https://x.com/michaelruane/status/1531062661433237510,tweet_id:1531062661433237510
Nick Taylor,@Taylor_Nick_L,2022-05-29T23:59:14.000Z,False,"Time for Top Gun 2, again",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1545201973279981570/90TNc7z5_normal.jpg,https://x.com/Taylor_Nick_L/status/1531062644173443073,tweet_id:1531062644173443073
Emmy,@Emmys_carousel,2022-05-29T23:59:11.000Z,False,"Top Gun: Maverick 
Definitely worth the wait.
A must see.
'Don't think,  just do'#TopGunMaverick #Maverick  Thank you for reprising a role you were born for. Absolutely amazing. ",0,0,0,0,"['#TopGunMaverick', '#Maverick']",['@TomCruise'],['\\U0001f4af'],https://pbs.twimg.com/profile_images/1813264377962696704/QZ_9hhwj_normal.jpg,https://x.com/Emmys_carousel/status/1531062628709281794,tweet_id:1531062628709281794
Hedley Carter,@HedleyCarter,2022-05-29T23:59:04.000Z,False,Yes managed to get a set of the top gun decals and instructions out of the revell kit,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1824745103933554688/G5D39RtO_normal.jpg,https://x.com/HedleyCarter/status/1531062599084818432,tweet_id:1531062599084818432
Frances Cox,@Frances06938921,2022-05-29T23:58:53.000Z,False,"After the 'Top Gun' discussion on YouTube I am surprised Legal Eagle sat through an old romcom like 'Breakfast at Tiffany's '. What's next? 'On a Clear Day', 'Harold and Maude' or 'Days of Wine and Roses""? The mind boggles...",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1458827345142460418/r5r9ygaj_normal.png,https://x.com/Frances06938921/status/1531062553241079813,tweet_id:1531062553241079813
travis fazekas,@travis112096,2022-05-29T23:58:52.000Z,False,"and speaking of likely successes for people involved with Top Gun this also bodes well for Spiderhead on Netflix (Joseph Kosinski's next film) with Chris Hemsworth, Miles Teller & Jurnee Smollett that one is gonna do some big numbers for Netflix in 3 weeks",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1387184244221349890/2MDSToVG_normal.jpg,https://x.com/travis112096/status/1531062551647096832,tweet_id:1531062551647096832
Jenna,@jennavd22,2022-05-29T23:58:49.000Z,False,The new Top Gun is one of the best movies I’ve seen in a long time. It was so well done mixing the past and the present.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1834621444753440768/BfXDX0W__normal.jpg,https://x.com/jennavd22/status/1531062540054274049,tweet_id:1531062540054274049
John Lee,@koreanforeigner,2022-05-29T23:58:47.000Z,False,"For the past few years, South Korea has normally been one of the first countries new movies have opened in theaters. Occasionally, some movies don't, and ""Top Gun: Maverick"" is one of them. I have to wait until June 22nd to watch it. Muting relevant words until then.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1597232630415904768/-3iD_N97_normal.jpg,https://x.com/koreanforeigner/status/1531062529153064960,tweet_id:1531062529153064960
THE Gucci Mink,@_guccimink,2022-05-29T23:58:46.000Z,False,top gun is quality cinema,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1585841782247501824/PYqrQhOd_normal.jpg,https://x.com/_guccimink/status/1531062525017481218,tweet_id:1531062525017481218
Rogue Bot Mom,@aznananc,2022-05-29T23:58:36.000Z,False,Please. Tom Cruise wasn’t even the hottest guy in the original Top Gun.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1013643984730664961/9Q4kFI3o_normal.jpg,https://x.com/aznananc/status/1531062483296714753,tweet_id:1531062483296714753
lia,@noeliareads,2022-05-29T23:58:34.000Z,False,If I see that scene of Miles Teller in Top Gun Maverick again istg ,0,0,0,0,[],[],['\\U0001f624'],https://pbs.twimg.com/profile_images/1639308555898568726/VW59ep5s_normal.jpg,https://x.com/noeliareads/status/1531062473805242369,tweet_id:1531062473805242369
CorpRaider,@The_Corp_Raider,2022-05-29T23:58:34.000Z,False,"""Top Gun: Maverick?! Load the damn boat!"" - WEB",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1753905655105077248/KxSOq-v6_normal.jpg,https://x.com/The_Corp_Raider/status/1531062473452924928,tweet_id:1531062473452924928
JG,@J_2the_G,2022-05-29T23:58:32.000Z,True,Top Gun Maverick was A+. Well scripted and cast with a mix of old and new. Dramatic flight scenes that can only truly be enjoyed in the theater. Just the right amount of corny. Worth the wait!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1695800763023286272/4GQSgsax_normal.jpg,https://x.com/J_2the_G/status/1531062466976878592,tweet_id:1531062466976878592
Ꮤ 𝑴𝒚 𝑻𝒚𝒑𝒆 𝒊𝒔 이승훈,@DilaHoony,2022-05-29T23:58:22.000Z,False,Ye wehh dh la mood main game kat genting hrtu x hilang lagi. Ada satu game tu alpha fighter mcm tu lah feel dia bila tgk top gun. Alangkah bestnya kalo boleh dlm 4D ke. Fuhhh feel abes,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1838596234749317125/w4F0k52N_normal.jpg,https://x.com/DilaHoony/status/1531062424056774656,tweet_id:1531062424056774656
João Pedro,@JoaoPedroTL,2022-05-29T23:58:21.000Z,False,"O Top Gun Maverick é o blockbuster perfeito. Boa nostalgia e homenagem ao primeiro, mas com novos personagens interessantes. Imaginem uma música pop, que não traz nada de novo, mas tem uma excelente produção e é super orelhuda. (progaganda militar ignorada)",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1707403136875274241/-PX-j1ov_normal.jpg,https://x.com/JoaoPedroTL/status/1531062421779103746,tweet_id:1531062421779103746
Nathan Jones #pulsechain,@files_dirty,2022-05-29T23:58:21.000Z,True,Wooaaah #TopGun didn't go woke! Nice!,0,0,0,0,['#TopGun'],[],"['\\U0001f64c', '\\U0001f44f', '\\U0001f44f', '\\U0001f44f']",https://pbs.twimg.com/profile_images/1734366986581266432/DTYLhBBI_normal.jpg,https://x.com/files_dirty/status/1531062421669834752,tweet_id:1531062421669834752
everest,@nathyeverte,2022-05-29T23:58:14.000Z,False,TOP GUN MAVERICK É MARAVILHOSO DE BOM,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1797448245230063616/r7k0ydWv_normal.jpg,https://x.com/nathyeverte/status/1531062391999549440,tweet_id:1531062391999549440
Alex,@4RIUS,2022-05-29T23:58:11.000Z,False,rewatching top gun to fuel my need for romance & action,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1823440830730018816/sPekcc43_normal.jpg,https://x.com/4RIUS/status/1531062379173138433,tweet_id:1531062379173138433
Manny,@_mannys1ngh,2022-05-29T23:58:11.000Z,False,Have you seen top gun yet?,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1839090309499703296/V2iZkRJX_normal.jpg,https://x.com/_mannys1ngh/status/1531062377923301377,tweet_id:1531062377923301377
Vini,@viniscripto,2022-05-29T23:58:10.000Z,False,"PQP que filme esse novo Top Gun, tem tudo pra quem é fã do primeiro.
Vejam no cinema que o som dos jatos é absurdo!!",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1573565608372871168/dQ30y3_g_normal.jpg,https://x.com/viniscripto/status/1531062373062168577,tweet_id:1531062373062168577
Salty Barner,@SaltyBarner56,2022-05-29T23:57:58.000Z,False,The new Top Gun is a must watch 50/10,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1484656086128988171/okMB1FKD_normal.jpg,https://x.com/SaltyBarner56/status/1531062324555022338,tweet_id:1531062324555022338
APES RECKONING,@babyape2021,2022-05-29T23:57:52.000Z,False,Top Gun Maverick Soars High. Would be the same for $AMC MOASS this Week   ,0,0,0,0,[],['@AMCTheatres'],"['\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680', '\\U0001f680']",https://pbs.twimg.com/profile_images/1695640584722186240/_8rEG4RV_normal.jpg,https://x.com/babyape2021/status/1531062299053522945,tweet_id:1531062299053522945
Mavi Tartaglia,@mavi_t,2022-05-29T23:57:49.000Z,False,"Gente, como o Tom Cruise era um baby em Top Gun!!!!! #TopGun",0,0,0,0,['#TopGun'],[],[],https://pbs.twimg.com/profile_images/1671300236910772227/yZKHbLPg_normal.jpg,https://x.com/mavi_t/status/1531062284860198917,tweet_id:1531062284860198917
MK,@Mk1994H,2022-05-29T23:57:47.000Z,False,I rated Top Gun (1986) 7/10. Still a classic  https://imdb.com/title/tt0092099,0,0,0,0,[],[],['\\U0001f44f\\U0001f3fb'],https://pbs.twimg.com/profile_images/1779919657773699072/L_-6CufK_normal.jpg,https://x.com/Mk1994H/status/1531062279759863808,tweet_id:1531062279759863808
,@dinocharts,2022-05-29T23:57:47.000Z,False,felipe me chamando pra ver top gun 2 eu nunca nem vi o 1,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1853216423407165440/rLJ6A9KK_normal.jpg,https://x.com/dinocharts/status/1531062279206215680,tweet_id:1531062279206215680
flight school chaos,@mbkar911,2022-05-29T23:57:47.000Z,False,Seeing Top Gun in a small town theater is a trip,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1810150947601195008/qL7Ewquc_normal.jpg,https://x.com/mbkar911/status/1531062278140960768,tweet_id:1531062278140960768
ジュン,@regaimpsti555,2022-05-29T23:57:42.000Z,False,"Top Gun Anthem
もう36年前なんだなぁ。当時のギター小僧は皆弾いたよね。もう覚えてないや。また弾いてみよ。",0,0,0,0,[],[],"['\\U0001f606', '\\U0001f3b8', '\\U0001f923']",https://pbs.twimg.com/profile_images/788653514675228672/jUTEm2rc_normal.jpg,https://x.com/regaimpsti555/status/1531062258133893120,tweet_id:1531062258133893120
Alison Stewart,@alison_stewart5,2022-05-29T23:57:40.000Z,False,Oh ffs Top Gun! ,0,0,0,0,[],[],['\\U0001f926\\U0001f3fc\\u200d\\u2640\\ufe0f'],https://pbs.twimg.com/profile_images/1464318906894630919/vibLx6qT_normal.jpg,https://x.com/alison_stewart5/status/1531062249447620608,tweet_id:1531062249447620608
50yardwillie,@50yardwillie,2022-05-29T23:57:39.000Z,False,At Top Gun. Nobody talk to me or @Footba11Guy29,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1665891036219023360/P100Ajhd_normal.jpg,https://x.com/50yardwillie/status/1531062243919646721,tweet_id:1531062243919646721
