Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
When We Speak TV,@whenwespeaktv,2024-10-16T23:59:13.000Z,False,Smile 2 Is Even Better than the First!!! #Smile2#SmileMovie,0,0,0,206,"['#Smile2', '#SmileMovie']",['@SmileMovie'],[],https://pbs.twimg.com/profile_images/1268642415491141633/cM-T8eXR_normal.jpg,https://x.com/whenwespeaktv/status/1846702469646024756,tweet_id:1846702469646024756
Alex: Romulus,@Alex_Madden_,2024-10-16T23:55:53.000Z,False,Once again I am afraid of smiles. Check out my review of #Smile2 and see why I think it's better than the first#smilemoviehttps://youtube.com/watch?v=cemAqlSj-_0…,0,0,0,170,"['#Smile2', '#smilemovie']",[],[],https://pbs.twimg.com/profile_images/1675281329695473664/W9Jq0LBW_normal.jpg,https://x.com/Alex_Madden_/status/1846701630407790651,tweet_id:1846701630407790651
Sabrina,@SabrinaSpectre,2024-10-16T23:52:34.000Z,False,Is #Smile2 the new Final Destination franchise?,0,0,0,81,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1846501121285627904/VMZcKlM4_normal.jpg,https://x.com/SabrinaSpectre/status/1846700795393151357,tweet_id:1846700795393151357
Flickreel,@Flickreel,2024-10-16T23:50:07.000Z,False,"#Smile2 feels like a prominent turning point for Naomi Scott, much like a smile creeping across one’s face. Our review: https://flickreel.com/smile-2-review/ ",0,0,0,228,['#Smile2'],['@SmileMovie'],[],https://pbs.twimg.com/profile_images/489717960496267265/S3ltoxAR_normal.jpeg,https://x.com/Flickreel/status/1846700179778388461,tweet_id:1846700179778388461
Nicholas Spake,@NSpake,2024-10-16T23:49:27.000Z,False,"#Smile2 feels like a prominent turning point for Naomi Scott, much like a smile creeping across one’s face. My review: https://flickreel.com/smile-2-review/ ",0,0,0,110,['#Smile2'],['@SmileMovie'],[],https://pbs.twimg.com/profile_images/1109687967285559296/0qpo-ZSQ_normal.jpg,https://x.com/NSpake/status/1846700013709132061,tweet_id:1846700013709132061
Evelyn bowen,@kissmeyoumissme,2024-10-16T23:45:29.000Z,False,How yaw feel about smile2 #Smile2,0,0,0,396,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1668281767546048512/CjoB18Bc_normal.jpg,https://x.com/kissmeyoumissme/status/1846699012126396591,tweet_id:1846699012126396591
Fuzzy Belvedere,@Fuzzy_Belvedere,2024-10-16T23:40:58.000Z,False,"#Smile2 was Go see this movie, way better than the first one #FrightNightWithFerociousFi #HorrorPodcast #SmileMovie",0,0,0,688,"['#Smile2', '#FrightNightWithFerociousFi', '#HorrorPodcast', '#SmileMovie']",[],"['\\U0001f525', '\\U0001f525', '\\U0001f525', '\\U0001f4af', '\\U0001f60e']",https://pbs.twimg.com/profile_images/1852331965489328128/ms2iofdh_normal.jpg,https://x.com/Fuzzy_Belvedere/status/1846697875759419813,tweet_id:1846697875759419813
Branden Marotta,@brmarotta_,2024-10-16T23:39:15.000Z,False,"#Smile2 is a step up from its predecessor. Taking a more psychological approach and making the audience question what is real and what isn't. It's a little bit too long and some story beats are the same as the first. But this was a fun, bloody ride with a kick ass ending",0,0,0,5.9K,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1498344530034237443/cW8Mxu-E_normal.jpg,https://x.com/brmarotta_/status/1846697443452481998,tweet_id:1846697443452481998
Dirty Little Horror,@DirtyHorrorPod,2024-10-16T23:38:35.000Z,False,"We’re back to doing premieres, y’all. #smile2 #smilemovie",0,0,0,280,"['#smile2', '#smilemovie']",[],[],https://pbs.twimg.com/profile_images/1814817561722183680/WcWNkPm4_normal.jpg,https://x.com/DirtyHorrorPod/status/1846697276820922495,tweet_id:1846697276820922495
Darren,@27darren,2024-10-16T23:37:33.000Z,False,"#Smile2 is seriously good. Ambitious, brilliantly shot and terrifyingly grim. Go and see it.",0,0,0,64,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1610741239485169677/aa7NR668_normal.jpg,https://x.com/27darren/status/1846697016665223668,tweet_id:1846697016665223668
AMC Believer,@BSReviewsUK,2024-10-16T23:36:41.000Z,False, #AMC #Smile2 ,0,0,0,348,"['#AMC', '#Smile2']",[],"['\\U0001f37f', '\\U0001f525', '\\U0001f525', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1851727202791923712/AiNsWr2x_normal.jpg,https://x.com/BSReviewsUK/status/1846696800612159829,tweet_id:1846696800612159829
Smile Movie,@SmileMovie,2024-10-16T23:35:20.000Z,True,“A perfect Halloween treat for those in need of a good scare.” Get tickets for #Smile2 now — in theatres Friday.,0,0,0,14K,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1841547424961056768/pjV17bQM_normal.png,https://x.com/SmileMovie/status/1846696459510387040,tweet_id:1846696459510387040
Nick Zednik,@NickZednik,2024-10-16T23:29:46.000Z,False,"#Smile2 is a deeper, bolder sequel that adds to its concept with a more chaotic, haunting & psychologically tormenting atmosphere. The pop star angle really shines & Naomi Scott slays a star-turning performance & one of 2024’s best. A bit too long, but still effective. Fun time!",0,0,0,1.1K,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1559384703819563008/RsChI-TF_normal.jpg,https://x.com/NickZednik/status/1846695057862414391,tweet_id:1846695057862414391
AMC Believer,@BSReviewsUK,2024-10-16T23:29:17.000Z,True, #AMC #Smile2 ,0,0,0,312,"['#AMC', '#Smile2']",[],"['\\U0001f37f', '\\U0001f525', '\\U0001f525', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1851727202791923712/AiNsWr2x_normal.jpg,https://x.com/BSReviewsUK/status/1846694935015088172,tweet_id:1846694935015088172
Rare Doodle,@Rare_Doodle,2024-10-16T23:26:47.000Z,False,"Just saw #Smile2 and thought it was fine enough, the cinematographer and sound guy both need a raise. Whilst the first one had an unreliable narrator, this one was waayyy more unreliable, the third act in this film was also better than the third act in the first, 6.8/10",0,0,0,62,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1495361309252145155/DPb9sQy4_normal.jpg,https://x.com/Rare_Doodle/status/1846694306582593757,tweet_id:1846694306582593757
Jones Vibes,@jonesvibesonly,2024-10-16T23:25:37.000Z,False,"#Smile2 is exactly what I was hoping for. It’s a sequel that amps up EVERYTHING you loved about the original, while telling a new and badass story. WE WON!! Watch my spoiler free review - https://youtu.be/Y0fdg6EMCtc?si=FyMuDW7PFk33zRKW…",0,0,0,549,['#Smile2'],[],"['\\U0001f525', '\\U0001f600']",https://pbs.twimg.com/profile_images/1838394686571941888/XImps_cF_normal.jpg,https://x.com/jonesvibesonly/status/1846694013362999335,tweet_id:1846694013362999335
Pelicansfan36,@Jetsfan141,2024-10-16T23:25:13.000Z,False,Is there more scenes of that smile monster in Smile 2 #Smile2,0,0,0,142,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1794148126065926144/-ZMOmFM__normal.jpg,https://x.com/Jetsfan141/status/1846693911298744719,tweet_id:1846693911298744719
A H,@imakryptonian,2024-10-16T23:25:03.000Z,False,"Honestly after not being a fan of the original Smile, I think #Smile2 makes the first movie so much better. The sequel is one of the best and one of my favorite movies of 2024 already. Can't wait to see where this franchise goes next!",0,0,0,55,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1176927680295395328/E7EhTMWr_normal.jpg,https://x.com/imakryptonian/status/1846693872237257210,tweet_id:1846693872237257210
thales rangel,@thrangel,2024-10-16T23:23:00.000Z,False,"O filme estreia amanhã nos cinemas brasileiros e vale muuuito a pena assistir no cinema!

Aquele somzão poderoso pra levar vários sustos. Teve um que eu até gritei e pulei da cadeira realmente hahaha muito bom! #Sorria2#Smile2",0,0,0,347,"['#Sorria2', '#Smile2']",['@ParamountBrasil'],[],https://pbs.twimg.com/profile_images/1501621974816235526/Lt4H7Ypr_normal.jpg,https://x.com/thrangel/status/1846693355113402724,tweet_id:1846693355113402724
thales rangel,@thrangel,2024-10-16T23:21:32.000Z,False,"A Naomi Scott está incrível como uma cantora superstar, incrível na parte dramática da personagem e incrível também no terror, nos berros e no desespero!

Única crítica é que em alguns momentos o filme dá uma barrigada e fica meio longo, mas nada que atrapalhe.#Sorria2 #Smile2",0,0,0,185,"['#Sorria2', '#Smile2']",[],[],https://pbs.twimg.com/profile_images/1501621974816235526/Lt4H7Ypr_normal.jpg,https://x.com/thrangel/status/1846692986697978034,tweet_id:1846692986697978034
thales rangel,@thrangel,2024-10-16T23:21:31.000Z,False,"Eu gostei DEMAAAIS de ""Sorria 2""!! Conseguiu ser melhor que o primeiro que já era muito bom.

A história mantém o nível do anterior, com boas surpresas e reviravoltas, além de muitos sustos, sangue e gore, bem mais que o primeiro!#Sorria2#Smile2",0,0,0,891,"['#Sorria2', '#Smile2']",[],[],https://pbs.twimg.com/profile_images/1501621974816235526/Lt4H7Ypr_normal.jpg,https://x.com/thrangel/status/1846692983145427365,tweet_id:1846692983145427365
Shenanigans,@michal13579,2024-10-16T23:21:07.000Z,False, Just saw Smile 2 and honestly it was a masterpiece!!! Truly a wild movie!  was outstanding!! #Smile2 #Smile,0,0,0,74,"['#Smile2', '#Smile']","['@SmileMovie', '@NaomiScott']",[],https://pbs.twimg.com/profile_images/1756039982760742912/TR0JcTui_normal.jpg,https://x.com/michal13579/status/1846692880468852742,tweet_id:1846692880468852742
Dana Abercrombie,@sagesurge,2024-10-16T23:20:18.000Z,False,"#Smile2 is one of the best movies of the year. Tackling trauma, death, fame, and substance abuse, it is full of raw emotion and complexities. It builds upon the foundation of #Smile and then blows it out of the water. Naomi Scott acted her ass off, making you question reality.",0,0,0,211,"['#Smile2', '#Smile']",[],[],https://pbs.twimg.com/profile_images/755842152576409600/3vP6sZ2L_normal.jpg,https://x.com/sagesurge/status/1846692675304530014,tweet_id:1846692675304530014
A H,@imakryptonian,2024-10-16T23:20:18.000Z,False,"Naomi Scott gives one hell of a performance in #Smile2. Her best one yet. She carries the movie, start to finish. Tbh, was bored during the original Smile movie, wanted it to be over. But the sequel impressed me so much, didn't realize how fast it went by. So enjoyable!",0,0,0,70,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1176927680295395328/E7EhTMWr_normal.jpg,https://x.com/imakryptonian/status/1846692675015057570,tweet_id:1846692675015057570
Joe Knights,@TheDarkKnightsy,2024-10-16T23:20:16.000Z,False,"#Smile2 … Seen as part of a double bill tonight, this is MUCH better. Everything about this is way more improved from the 1st movie. More brutal, better jump scares, and Naomi Scott is really f’n good too. I do hope it ends here tho,don’t spin more sequels from this please.",0,0,0,370,['#Smile2'],[],['\\U0001f44d\\U0001f3fb'],https://pbs.twimg.com/profile_images/1820164905112043520/FXYqDBiT_normal.jpg,https://x.com/TheDarkKnightsy/status/1846692667180437944,tweet_id:1846692667180437944
Cassie Hicks,@chicks67,2024-10-16T23:20:07.000Z,False," Want to apologize to this morning program for missing a candid interview with the cast director of #Smile2 on it this morning. Maybe I can check it out on either #YouTubeapp, or http://CBSMornings.com?",0,0,0,48,"['#Smile2', '#YouTubeapp']",['@CBSMornings'],"['\\u2639', '\\U0001f615']",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/chicks67/status/1846692627749519640,tweet_id:1846692627749519640
AMC Believer,@BSReviewsUK,2024-10-16T23:19:40.000Z,False, #AMC #Smile2 ,0,0,0,354,"['#AMC', '#Smile2']",[],"['\\U0001f37f', '\\U0001f525', '\\U0001f525', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1851727202791923712/AiNsWr2x_normal.jpg,https://x.com/BSReviewsUK/status/1846692518093578553,tweet_id:1846692518093578553
AMC Believer,@BSReviewsUK,2024-10-16T23:19:16.000Z,False, #AMC #Smile2 ,0,0,0,323,"['#AMC', '#Smile2']",[],"['\\U0001f37f', '\\U0001f525', '\\U0001f525', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1851727202791923712/AiNsWr2x_normal.jpg,https://x.com/BSReviewsUK/status/1846692414607515737,tweet_id:1846692414607515737
A H,@imakryptonian,2024-10-16T23:18:07.000Z,False,"Had the chance to catch an early screening of #Smile2 and have to say I went in with no expectations and walked out with pure joy and excitement. This is one of the best horror movies I've seen in a long time. It's entertaining, it's gripping and so much fun for a horror flick!",0,0,0,42,['#Smile2'],[],[],https://pbs.twimg.com/profile_images/1176927680295395328/E7EhTMWr_normal.jpg,https://x.com/imakryptonian/status/1846692124596527569,tweet_id:1846692124596527569
AMC Believer,@BSReviewsUK,2024-10-16T23:17:24.000Z,True, #AMC #Smile2 ,0,0,0,363,"['#AMC', '#Smile2']",[],"['\\U0001f37f', '\\U0001f525', '\\U0001f525', '\\U0001f37f']",https://pbs.twimg.com/profile_images/1851727202791923712/AiNsWr2x_normal.jpg,https://x.com/BSReviewsUK/status/1846691944602173711,tweet_id:1846691944602173711
